price,area,age,bhk
10500000,1200,1,2
6000000,1000,,3
15000000,1350,0,3
2500000,435,3,2
5800000,900,0,2
15800000,1800,0,3
15400000,1500,0,3
13500000,1800,6,3
6500000,1000,1,4
12500000,1300,0,2
11000000,1000,0,3
12500000,1550,1,3
14800000,1800,0,3
12500000,600,0,2
3300000,385,0,2
110000000,2500,5,4
5000000,1000,0,1
17500000,1300,0,3
3600000,1050,,3
16500000,1600,0,2
10500000,1200,0,3
6000000,1000,0,4
15000000,1350,0,4
2500000,435,0,2
5800000,900,1,2
15800000,1800,0,2
15400000,1500,0,3
13500000,1800,2,3
6500000,1000,1,2
12500000,1300,0,2
11000000,1000,0,2
12500000,1550,1,2
14800000,1800,0,2
12500000,600,1,2
3300000,385,0,2
110000000,2500,0,2
5000000,1000,3,3
17500000,1300,4,2
3600000,1050,0,3
16500000,1600,3,2
12500000,1000,0,3
2750000,630,1,2
23500000,2000,0,2
16200000,1600,0,2
13500000,1350,1,2
5500000,1000,0,2
5500000,1000,1,3
3621000,900,0,2
9200000,1200,1,2
10400000,1125,0,2
2350000,415,,3
8000000,1500,4,3
3500000,675,1,3
14800000,1750,0,2
8500000,1200,1,2
45000000,4600,0,3
17500000,1650,0,2
2700000,540,3,2
4999000,950,0,2
4699000,850,1,3
3800000,450,5,4
15000000,1551,1,2
3000000,650,,3
5100000,900,0,3
2350000,550,3,3
5499000,900,0,2
12800000,1843,0,3
2500000,630,0,2
27500000,3000,6,3
3600000,675,1,4
45000000,1300,0,1
5500000,1000,0,3
5500000,900,0,3
16800000,1700,0,2
3900000,900,0,2
4400000,1000,5,4
15000000,1200,0,1
6500000,700,0,2
2900000,630,,3
2100000,540,0,2
6200000,1200,0,3
4011000,1000,0,4
5300000,850,0,5
13500000,1500,0,3
2400000,750,1,3
14500000,1650,0,2
4500000,810,0,2
16000000,1250,2,2
6400000,600,1,2
35000000,3800,0,2
10000000,1000,0,3
2300000,380,1,3
6900000,600,0,2
17500000,2250,1,2
16500000,1200,0,2
3000000,645,0,2
13500000,1600,3,4
3800000,1000,4,3
5000000,920,2,3
2800000,570,3,2
162500000,6400,,2
7500000,1100,,2
26000000,1650,0,2
3000000,750,0,2
3000000,800,0,3
5200000,1000,0,2
18000000,1700,0,2
35000000,1800,0,2
4400000,810,0,3
15500000,1800,1,1
27500000,1550,1,2
8200000,500,0,2
4799000,950,0,2
15000000,1250,0,2
14000000,1000,0,2
6500000,1000,0,3
3200000,620,0,3
6600000,700,0,2
6800000,581,0,3
2650000,600,0,2
10400000,1000,0,3
22500000,2150,0,3
28500000,2350,0,3
14000000,1500,0,4
5499000,900,0,3
3399000,720,0,4
2349000,450,0,3
6000000,990,0,3
3199000,675,0,3
4099000,765,0,4
5499000,900,0,4
3399000,720,0,3
2349000,450,0,3
5999000,990,0,4
3199000,675,0,4
4099000,765,0,5
5499000,900,0,3
3399000,720,0,3
2299000,450,0,3
6000000,990,0,3
3199000,675,0,2
4099000,765,0,2
18900000,2150,0,3
17400000,1950,0,3
13400000,1650,0,3
16399999,1750,0,2
19200000,2250,0,2
2300000,410,0,3
2600000,450,0,3
5800000,750,0,3
5000000,700,0,3
4500000,650,0,3
17000000,1450,0,3
13500000,1400,0,3
13000000,1150,0,2
18300000,1550,0,2
18000000,1500,0,2
17000000,1550,0,2
19000000,1500,0,2
18000000,1450,0,2
14000000,1200,0,3
4500000,500,0,2
16000000,1800,0,2
15500000,1700,0,3
16000000,1800,0,3
24000000,2000,0,2
18000000,1900,0,2
16000000,1800,0,3
15500000,1700,0,3
18000000,1900,0,3
17000000,1800,0,2
19500000,1900,1,3
16500000,1800,1,3
15500000,1800,1,3
17500000,1800,1,3
4700000,820,1,3
2700000,625,1,3
2400000,525,1,3
3500000,750,0,3
4200000,850,0,3
16500000,1700,0,2
16800000,1900,0,2
13799999,1700,0,4
13000000,1700,0,3
13000000,1700,0,3
10500000,1400,0,4
19000000,1900,0,3
13000000,1700,0,3
13000000,1700,0,2
18000000,1900,0,3
19000000,1900,0,2
19500000,1900,0,3
18500000,1800,0,4
14500000,1800,0,2
14500000,1800,0,2
14500000,1800,0,2
15800000,1800,0,3
14500000,1800,0,2
19000000,2000,0,3
17000000,1900,0,3
13799999,1700,0,3
15800000,1700,0,3
10000000,1100,0,3
14500000,1700,0,3
14500000,1700,2,3
15500000,1600,2,3
15500000,1600,2,2
14500000,1500,2,3
14500000,1500,2,2
16500000,1600,2,2
17200000,1800,2,2
20900000,2200,1,4
19500000,1900,1,3
15800000,1700,1,3
17000000,1800,1,3
16000000,2000,1,4
17500000,2000,1,3
14900000,1800,0,3
14500000,1900,0,3
17000000,1600,0,4
14500000,1900,0,4
20000000,2400,0,3
14500000,1800,0,3
16500000,1800,0,2
16000000,1800,0,2
15500000,1700,0,1
23000000,2300,0,2
19500000,2100,0,2
19500000,2100,0,2
13500000,1700,0,2
16500000,2200,0,2
17500000,2000,0,3
17500000,2000,0,2
14500000,1800,0,2
18500000,2000,0,2
19000000,2000,0,2
22000000,2200,0,2
27000000,3000,0,2
22000000,2200,0,3
19000000,2100,0,2
15000000,1800,0,2
17500000,2600,0,2
3500000,500,0,2
2100000,360,0,2
16000000,2250,0,3
2300000,400,0,2
4000000,650,1,3
14500000,2000,1,3
5300000,850,1,3
4500000,800,1,3
9700000,1300,1,3
17000000,1800,1,3
15500000,1800,1,3
15500000,1800,1,3
15800000,1800,0,3
14000000,1800,0,3
13500000,1600,0,3
16500000,2000,0,3
14500000,1800,0,2
15500000,2800,0,2
21000000,2000,0,2
15000000,1600,0,3
16500000,1800,0,3
24000000,1800,0,3
15600000,1800,0,3
16000000,2400,0,3
16500000,1800,0,3
14000000,1800,0,3
15800000,1900,0,2
17000000,1800,0,2
17000000,1800,0,3
18500000,2000,0,2
18000000,1900,0,3
16000000,1800,0,2
17000000,1900,0,2
13000000,1700,0,3
16000000,1800,0,2
13500000,1800,0,3
13000000,1700,0,3
13000000,1600,0,3
17000000,1900,0,2
15000000,1800,0,3
15500000,1700,0,2
15000000,1800,0,2
18500000,2000,0,3
21000000,2100,0,3
16500000,1800,0,3
16000000,1800,0,3
14000000,1600,0,3
18000000,1900,0,3
13000000,1800,0,2
20000000,1900,0,2
19000000,1900,0,3
15500000,1800,0,3
10200000,1400,0,2
14500000,1900,0,2
15500000,1900,0,2
16800000,2000,5,3
13500000,1800,5,4
16800000,2000,5,3